level,lux
0,0.006666667
1,0.983333333
25,0.996666667
50,1.003333333
75,1.003333333
100,1.583333333
125,3.39
150,7.166666667
175,14.97333333
200,28.86666667
225,51.16666667
250,80.06666667
254,85.06666667
